State_Code,County,County_Seat,Latitude,Longitude
CA, Orange,Santa Ana,33.736332,-117.8829
CA, Santa Barbara,Santa Barbara,34.400601,-119.712955
CA, Santa Cruz,Santa Cruz,36.974385,-122.035268
CA, Sonoma,Santa Rosa,38.445824,-122.706181
CA, Tuolumne,Sonora,37.981707,-120.382755
CA, San Joaquin,Stockton,37.976342,-121.313304
CA, Lassen,Susanville,40.433674,-120.628306
CA, Mendocino,Ukiah,39.146614,-123.210326
CA, Tulare,Visalia,36.32803,-119.328519
CA, Trinity,Weaverville,40.740655,-122.929022
CA, Glenn,Willows,39.514752,-122.199178
CA, Yolo,Woodland,38.67116,-121.750043
CA, Siskiyou,Yreka,41.724033,-122.63157
CA, Sutter,Yuba City,39.138588,-121.639661
CO, Washington,Akron,40.163466,-103.220274
CO, Alamosa,Alamosa,37.474528,-105.876956
CO, Pitkin,Aspen,39.195125,-106.836772
CO, Boulder,Boulder,40.024533,-105.252755
CO, Summit,Breckenridge,39.499472,-106.043242
CO, Adams,Brighton,39.965699,-104.79417
CO, Broomfield,Broomfield,39.953593,-105.050787
CO, Kit Carson,Burlington,39.304171,-102.271466
CO, Douglas,Castle Rock,39.376244,-104.853479
CO, Gilpin,Central City,39.795369,-105.508966
CO, Cheyenne,Cheyenne Wells,38.819202,-102.35203
CO, Mineral,Creede,37.848589,-106.925161
CO, El Paso,Colorado Springs,38.867255,-104.760749
CO, Conejos,Conejos,37.087257,-106.015993
CO, Montezuma,Cortez,37.349783,-108.576687
CO, Moffat,Craig,40.51706,-107.555396
CO, Teller,Cripple Creek,38.746582,-105.184981
CO, Rio Grande,Del Norte,37.678462,-106.353935
CO, Delta,Delta,38.757371,-108.087985
CO, Denver,Denver,39.76185,-104.881105
CO, Dolores,Dove Creek,37.766842,-108.907173
CO, La Plata,Durango,37.265392,-107.878177
CO, Kiowa,Eads,38.481423,-102.779661
CO, Eagle,Eagle,39.641933,-106.816067
CO, Park,Fairplay,39.225061,-105.996386
CO, Larimer,Fort Collins,40.548216,-105.064833
CO, Morgan,Fort Morgan,40.253003,-103.788652
CO, Clear Creek,Georgetown,39.717886,-105.694488
CO, Garfield,Glenwood Springs,39.547132,-107.342556
CO, Jefferson,Golden,39.742483,-105.210561
CO, Mesa,Grand Junction,39.089062,-108.567452
CO, Weld,Greeley,40.414034,-104.771043
CO, Gunnison,Gunnison,38.547978,-106.924604
CO, Phillips,Holyoke,40.582101,-102.297192
CO, Grand,Hot Sulphur Springs,40.074902,-106.10317
CO, Lincoln,Hugo,39.136179,-103.473138
CO, Sedgwick,Julesburg,40.984864,-102.262708
CO, Elbert,Kiowa,39.343692,-104.45788
CO, Otero,La Junta,37.979414,-103.547336
CO, Hinsdale,Lake City,38.021605,-107.310706
CO, Prowers,Lamar,38.075971,-102.614723
CO, Bent,Las Animas,38.069668,-103.223229
CO, Lake,Leadville,39.247277,-106.29346
CO, Arapahoe,Littleton,39.590375,-105.020084
CO, Rio Blanco,Meeker,40.049953,-107.894584
CO, Montrose,Montrose,38.468918,-107.859013
CO, Crowley,Ordway,38.220899,-103.75668
CO, Ouray,Ouray,38.027543,-107.673348
CO, Archuleta,Pagosa Springs,37.263422,-107.003565
CO, Pueblo,Pueblo,38.269239,-104.610799
CO, Saguache,Saguache,38.08627,-106.141053
CO, Chaffee,Salida,38.529878,-105.997916
CO, Costilla,San Luis,37.202375,-105.422506
CO, San Juan,Silverton,37.810874,-107.664743
CO, Baca,Springfield,37.404914,-102.618898
CO, Routt,Steamboat Springs,40.476184,-106.823378
CO, Logan,Sterling,40.620483,-103.192509
CO, San Miguel,Telluride,37.939664,-107.818152
CO, Las Animas,Trinidad,37.173157,-104.490326
CO, Jackson,Walden,40.731584,-106.281336
CO, Huerfano,Walsenburg,37.630598,-104.781719
CO, Custer,Westcliffe,38.134203,-105.465306
CO, Yuma,Wray,40.079953,-102.228622
CT, Fairfield,Bridgeport,41.187393,-73.195757
CT, Hartford,Hartford,41.765933,-72.681579
CT, Litchfield,Litchfield,41.745704,-73.189238
CT, Middlesex,Middletown,41.548611,-72.656784
CT, New Haven,New Haven,41.310809,-72.924953
CT, New London,Norwich,41.548006,-72.089454
CT, Windham,Putnam,41.916752,-71.910703
CT, Tolland,Rockville,41.866519,-72.45127
DE, Kent,Dover,39.160602,-75.521659
DE, Sussex,Georgetown,38.68945,-75.387229
DE, New Castle,Wilmington,39.735651,-75.532104
FL, Franklin,Apalachicola,29.727426,-84.994047
FL, DeSoto,Arcadia,27.221209,-81.858429
FL, Polk,Bartow,27.886803,-81.821758
FL, Calhoun,Blountstown,30.44285,-85.045401
FL, Holmes,Bonifay,30.781349,-85.688758
FL, Manatee,Bradenton,27.489798,-82.576804
FL, Liberty,Bristol,30.425539,-84.977292
FL, Levy,Bronson,29.449109,-82.638474
FL, Hernando,Brooksville,28.516578,-82.404665
FL, Flagler,Bunnell,29.418736,-81.31948
FL, Sumter,Bushnell,28.686086,-82.11326
FL, Washington,Chipley,30.775249,-85.540533
FL, Pinellas,Clearwater,27.980289,-82.768166
FL, Wakulla,Crawfordville,30.199552,-84.363398
FL, Okaloosa,Crestview,30.747932,-86.579275
